Alistipes_shahii_WAL_8301,Bacteroides_caccae_ATCC_43185,Bacteroides_coprocola_M16_DSM_17136,Bacteroides_fragilis_NCTC_9343,Bacteroides_intestinalis_341_DSM_17393,Bacteroides_thetaiotaomicron_VPI_5482,Bacteroides_uniformis_ATCC_8492,Bifidobacterium_adolescentis_ATCC_15703,Bifidobacterium_longum_NCC2705,Clostridium_clostridioforme_CM201,Collinsella_tanakaei_YIT_12063,Escherichia_coli_str_K_12_substr_MG1655,Faecalibacterium_prausnitzii_L2_6,Haemophilus_parainfluenzae_T3T1,Megasphaera_elsdenii_DSM_20460,Parabacteroides_distasonis_ATCC_8503,Parabacteroides_johnsonii_DSM_18315,Prevotella_ruminicola_23,Roseburia_intestinalis_L1_82,Shigella_flexneri_2002017
RIBFLVtex,CBPS,TDPGDH,CDOSKT,HEPT2,ARGSS,CHORM,TRDRr,DHQTi,AIHDUDPMG,SUDPMGT,SO4tex,rtranscription,GMHEPK,PGAMT,UAGPT3,MNt2pp,ANPRT,FTHFL,3OAS12M14
ACOTA,MOHMT,FE2abcpp,CLPNSI17,EAR120x,EX_ca2(e),ACPS1,3OAR7M8,SDPTA,PRAI,IMPC,GLCTR2,GMPS2,CHORS,TKT1,RBFK,TDPGDH,3OAS6M8,G3PCT,HEPT1
G5SADs,ALAALA,3HAD140,PSDI17,3OAR40,3HAD12M14,EX_mg2(e),OPHHX3,biomass525,NAPRT,MECDPS,DXPS,EX_nac(e),DDPA,EAR13M14x,26DAPLLAT,FE2abcpp,GRTT,PTPAT,CBIAT
DHFOR2,BTS4,UAGPT3,AMMQT8r,GLYAT,SPMDtex,GMHEPPA,FE2abc,PEPGLY,EAR15M16x,PNTK,AGMHE,UDCPDPS,EX_thm(e),3OAS12M14,UDCPDP,3HAD140,EAR14M16x,UMPK,3OAR12M14
EAR5M6x,TDPDRRr,RBFK,FE2tex,3HAD120,IMPC,ZNabcpp,3OAS12M14,EX_cl(e),OPHHX3,EX_so4(e),3OAR60,EX_zn2(e),CU2tex,HEPT1,HEPK2,UAGPT3,ACOAAGPATAI17,DTMPK,TDPGDH
IPMDr,PRATPP,26DAPLLAT,PGPPI17,PANTS,MECDPS,rtranscription,3HAD10M12,CA2abc,ZNabc,EX_mqn8(e),3HAD100,ALAPGPL,3OAS120,EAR15M16x,r2137pp,RBFK,GLCTR1,CGLYabc,UAGPT3
FACOAL140,DPR,UDCPDP,CDPMEK,UAMAGS,PNTK,3OAS60,CAt4i,G1PACT,FE2abc,UAGCVT_r,TRDRr,DXPS,PGAMT,EDTXS2,BPNT,LEUTA,3HAD80,METAT,RBFK
GTHOXti3pp,DB4PS,HEPK2,SHK3Dr,EX_pi(e),ACHBPL,PRAGS,UAAGDS,dreplication,3HAD10M12,EX_pnto_R(e),ACOATA,TRDRr,r0391,PGMT,NNDMBRT,UDCPDP,G1PTT,MEPCT,UDCPDP
OMCDC,ARGSS,r2137pp,METFR,PSCVT,EX_so4(e),HEPT2,ADOCBLS,NNATr,UAAGDS,IVCOATA,LPADSS,EX_biomass(e),EAR13M14x,3HAD10M12,EX_fe2(e),HEPK2,MN2tex,EX_cu2(e),UPP3MT3
ORNDC,EX_ca2(e),BPNT,ASP1DC,U23GAAT,UAGCVT_r,EAR120x,ACBIPGT,PHETA1,ACBIPGT,3HAD11M12,EX_biomass(e),EX_fe3(e),3OAS12M14,UAAGDS,3OAS7M8,r2137pp,3HAD5M6,UAGDP,HEPK2
CLPNS180,IMPC,EX_fe2(e),THRD,TDPDRE,IVCOATA,3OAR40,ADSL2r,ASAD,RZ5PP,PRAMPC,EDTXS1,UAMAS,EX_arg_L(e),ACBIPGT,PRPPS,BPNT,3HAD60,ALAt2r,r2137pp
METS,MECDPS,PRPPS,DXPRIr,MECDPDH2,3HAD11M12,GLUPRT,EAR4M6,EX_zn2(e),TECA3SI17,TECA5SAI17,3OAS140,TECAAE,HEPT1,RZ5PP,3OAS10M12,EX_fe2(e),EX_lys_L(e),sink_PGPm1[c],BPNT
PSDAI17,PNTK,UHGADA,3OAS6M8,EX_cobalt2(e),PRAMPC,HSST,RZ5PP,EX_his_L(e),IGPS,AICART,KDOPP,P5CRyr,CBIAT,PItex,UHGADA,PRPPS,CHORM,ACGAMT,NNDMBRT
CAt4ipp,ACHBPL,ARGSL,GRTT,EX_mn2(e),AICART,3HAD120,PGSA180,LARGNAT,DMATT,UAG4E,UAMAS,PPCDC,PRAI,PRAIS,GLYCLTt2rpp,EX_h2s(e),PGPPAI17,ADSL2r,P1CM
GF6PTA,EX_so4(e),CDOSKT,EAR14M16x,ACCOAC,IPDPUPT,PANTS,STCOATA,OROTPT,HSTPTr,AGPR,EAR80x,Cuabc,3OAR12M14,DMATT,ARGSL,UHGADA,Kt1rpp,GARFTi,3OAS7M8
DHQS,EACPR2,RNTR2,PMDPHT,RHAT1,MOAT,UAMAGS,CBIAT,G3PCT,AMPTASECG,THMabc,KAS14,THRS,TDPGDH,KDOPSr,CDOSKT,ARGSL,ACPS1,PRASCSi,PRPPS
IHPDCOATA,UAGCVT_r,FE2tex,ATPPRT,EX_cl(e),3OAR100,EX_pi(e),G3PATI17,G3PD1,ALAALA,3OAS12M14,EAR40x,UGMDDS,UAGPT3,GTPCI,CLPNSI17,CDOSKT,3HAD4M6,FUMt2r,3OAS10M12
G3PATAI17,PRAMPC,CDPMEK,EX_spmd(e),NNATr,AGPR,PSCVT,PRAIS,FMNAT,PYDXabc,CBIAT,3OAR140,EX_tyr_L(e),RBFK,ALAALA,PSDI17,RNTR2,EX_mg2(e),GLUR,GLUTRR
EX_pydx(e),AICART,SHK3Dr,ACOAAGPATAI17,GALU,EAR4M6x,U23GAAT,SHEMEabc,PTPAT,PRATPP,SHEMEabc,KDOCT2,RNTR3,UDCPDP,TDPDRRr,RNTR2,FE2tex,GMHEPPA,EX_zn2(e),UHGADA
GTHOXtex,MALCOAMT,MEOHt2pp,GLCTR1,UAGAAT,HEMEtipp,TDPDRE,DMATT,UMPK,UACMAMAT,3OAR12M14,3OAR80,UAG2E,UPP3MT3,DB4PS,FE2tex,CDPMEK,rtranscription,PRMICI,CDOSKT
UAPGR,MOAT,ASP1DC,3HAD80,RNTR1,EAR160x,MECDPDH2,EX_biomass(e),TECAGE,OMMBLHX3,TECA4S,A5PISO,EX_k(e),HEPK2,EX_ca2(e),PGPPI17,SHK3Dr,PRAGS,ALAPGPL,CLPNSI17
DAPDC,3OAR100,biomass536,G1PTT,USHD,PRAGS,EX_cobalt2(e),EX_cytd(e),ALAPGPL,FACOAL180i,UAGPT3,PPCDC,GLU5K,DMQMT,3HAD12M14,EX_glyclt(e),ASP1DC,HEPT2,DXPS,PSDI17
PAPPT3,AGPR,MEOHtex,PHEMEtex,GMHEPAT,3OAS180,EX_mn2(e),CHRPL,TECAUE,ARGSS,RBFK,ZN2tex,PNTOabc,r2137pp,IMPC,CDPMEK,biomass536,EAR120x,PRFGS,HBZOPT
HEPT4,DBTS,DXPRIr,IGPDH,FMNAT,EX_pheme(e),ADSL1r,3OAR5M6,DTMPK,EX_ca2(e),UDCPDP,UGMDDS,EX_ribflv(e),BPNT,MECDPS,GCALDDr,DXPRIr,3OAR40,TRDRr,PGPPI17
S7PIr,MNt2pp,GRTT,MN2tex,GMHEPK,ALCD19,RHAT1,HISt2r,ALAR,3HAD12M14,DMQMT,MG2tex,TMDK1,NNDMBRT,PNTK,SHK3Dr,ANPRT,GLUPRT,EX_biomass(e),CDPMEK
3HAD13M14,TDPGDH,PMDPHT,3HAD5M6,CHORS,HEPT2,EX_cl(e),FRTT,DXPS,HEXTT,BPNT,MCOATA,PYDXK,P1CM,EX_so4(e),METFR,GRTT,EAR10M12x,OCBT,GCALDDr
SHKK,FE2abcpp,ATPPRT,3HAD60,DDPA,EAR120x,NNATr,NACabc,METAT,SUDPMGT,NNDMBRT,EX_k(e),ASPKi,3OAS7M8,UAGCVT_r,ASP1DC,PMDPHT,PSSAI17,EX_fe3(e),SHK3Dr
3OAS9M10,3HAD140,GLCTR1,EX_lys_L(e),CU2tex,3OAR40,EX_met_L(e),FCLTc,ACODAr,IMPC,EX_fol(e),EAR60x,G5SDr,PRPPS,EX_pnto_R(e),DXPRIr,ATPPRT,3HAD120,UAMAS,METFR
HEPT3,AHC,3HAD80,3HAD180,3OAS120,GLYAT,UAGAAT,PGM,PRAI,MECDPS,EX_fe2(e),COBALT2tex,SO4t2,3OAS10M12,IVCOATA,ANPRT,GLCTR1,EAR7M8x,TECAAE,MTHFC
OIVD1r,UAGPT3,G1PTT,CHORM,PGAMT,GLUPRT,RNTR1,PGPPAI17,,PNTK,3OAS7M8,ASPKi,biomass525,UHGADA,3HAD11M12,3OAS6M8,3HAD80,UAMAGS,DHFR,DXPRIr
TRP_Ltex,RBFK,IGPDH,PGPPAI17,IG3PS,EAR10M12x,USHD,PSDAI17,,ADK10,PRPPS,GLCTR3,PEPGLY,GLUTRR,AICART,GRTT,G1PTT,EX_pi(e),GALT,3OAS6M8
EX_trp_L(e),26DAPLLAT,MN2tex,SPMDabcpp,HEPT1,PSSAI17,GMHEPAT,FE3abc,,Kt1r,3OAS10M12,biomass525,PHETA1,CDOSKT,IPDPUPT,EAR14M16x,IGPDH,3OAS8M10,PPCDC,GRTT
EX_pheme(e),UDCPDP,3HAD60,ACPS1,TDSK,3HAD120,FMNAT,GLUPRT,,EX_so4(e),r2137,PEPGLY,ASAD,CLPNSI17,MOAT,PMDPHT,MN2tex,PSCVT,TMDS,EAR14M16x
HEPT2,HEPK2,EX_lys_L(e),3HAD4M6,GLUR,EAR7M8x,RHCCE,MNt2,,UDPGDr,CLPNSI17,ASAD,TKT2,PSDI17,EAR4M6x,ATPPRT,3HAD60,U23GAAT,Cuabc,PMDPHT
EAR10M12x,r2137pp,CHORM,EX_mg2(e),RBFSb,PANTS,GMHEPK,DHQS,,UAGCVT_r,Coabc,HEPK1,RPE,HBZOPT,CBIAT,EX_spmd(e),EX_lys_L(e),TDPDRE,THRS,ACOAAGPATAI17
PSSAI17,BPNT,ACPS1,GMHEPPA,26DAPt2rpp,UAMAGS,CHORS,PSSAI17,,EX_pnto_R(e),PSDI17,,HSK,PGPPI17,MNt2pp,ACOAAGPATAI17,CHORM,MG2abcpp,UGMDDS,GLCTR1
EAR7M8x,EX_fe2(e),EX_mg2(e),rtranscription,DPCOAK,EX_pi(e),DDPA,BTNCLi,,IVCOATA,HBZOPT,,ALAR,CDPMEK,3OAR12M14,GLCTR1,ACPS1,MECDPDH2,r1144,3HAD80
PANTS,PRPPS,GMHEPPA,3OAS60,THRD_L,3OAS8M10,CU2tex,ACPS1,,3HAD11M12,AMMQT8r,,,SHK3Dr,TDPGDH,3HAD80,EX_mg2(e),EX_cobalt2(e),ACGK,G1PTT
UAMAGS,UHGADA,rtranscription,PRAGS,ACOTA,PSCVT,3OAS120,ENO,,PRAMPC,PGPPI17,,,METFR,FE2abcpp,G1PTT,GMHEPPA,EX_mn2(e),RNTR3,MN2tex
3OAS8M10,ARGSL,3OAS60,3OAS180,G5SADs,U23GAAT,IG3PS,IHPDCOATA,,TECA5SAI17,CDPMEK,,,MTHFC,UAGPT3,PHEMEtex,GLUR,3OAR8M10,ADSS,3HAD5M6
PSCVT,CDOSKT,GMPS2,PGM,APRAUR,TDPDRE,HEPT1,3HAD4M6,,AICART,GGTA,,,DXPRIr,RBFK,IGPDH,RBFSb,RHAT1,UAG2E,3HAD60
U23GAAT,RNTR2,EDTXS2,EX_pheme(e),3OAS100,MECDPDH2,AMAOTr,G3PATAI17,,UAG4E,SHK3Dr,,,ANPRT,UDCPDP,MN2tex,DPCOAK,3OAR14M16,EX_k(e),FCLTc
TDPDRE,FE2tex,UAAGDS,HEPT2,3HAD40,UPP3MT,RBFSb,EX_mg2(e),,AMMQT7rev,METFR,,,3OAS6M8,HEPK2,3HAD5M6,THRD_L,EX_cl(e),PPCKr,PGPPAI17
ALAD_R,CDPMEK,PItex,GLYK,3OAS80,EX_cobalt2(e),DPCOAK,RNTR3,,EAR4M6x,DXPRIr,,,GRTT,r2137pp,3HAD60,ACOTA,EX_glyc(e),EX_ribflv(e),ACPS1
MECDPDH2,SHK3Dr,DMATT,EAR120x,Coabcpp,GCALDD,AHCYSNS_r,AIHPDCOATA,,CBIAT,3OAS6M8,,,EAR14M16x,BPNT,EX_lys_L(e),CYTK1,NNATr,ASPKi,3HAD4M6
TMK,MEOHt2pp,KDOPSr,3OAR40,GF6PTA,EX_mn2(e),ADK3,rtranscription,,SHEMEabc,GRTT,,,PMDPHT,NNDMBRT,3HAD180,APRAUR,PROt4rpp,SO4t2,EX_mg2(e)
VALTA,ASP1DC,EX_meoh(e),GLYAT,DHQS,3OAR8M10,ACOTA,EAR8M10,,3OAR12M14,ATPPRT,,,ACOAAGPATAI17,EX_fe2(e),CHORM,3OAS100,DAPMDH,biomass525,GMHEPPA
EX_cobalt2(e),THRD,HSTPTr,GLUPRT,UAPGR,RHAT1,G5SADs,EAR7M8x,,TECA4S,EX_spmd(e),,,GLCTR1,3OAS7M8,PGPPAI17,IPMDr,EX_met_L(e),PEPGLY,3HAD8M10
EX_mn2(e),biomass536,CBPS,EAR10M12x,PAPPT3,3OAR14M16,AOXSr2,UAPGR,,UAGPT3,ACOAAGPATAI17,,,3HAD80,PRPPS,SPMDabcpp,OMCDC,GALU,PHETA1,GGTT
3OAR8M10,MEOHtex,MOHMT,PSSAI17,HEPT4,EX_cl(e),APRAUR,DAPDC,,RBFK,PAPA180,,,G1PTT,3OAS10M12,ACPS1,3HAD40,UAGAAT,PLPS,TDSK
RHAT1,SUCOAS,ALAALA,TPI,S7PIr,biomass345,3OAS100,GMPS2,,UDCPDP,IGPDH,,,MN2tex,UHGADA,3HAD4M6,3OAS80,PSD180,ASAD,3OAR4M6
3OAR14M16,DXPRIr,BTS4,ENO,SHKK,NNATr,DAPE,PAPPT3,,DMQMT,3HAD5M6,,,3HAD5M6,CDOSKT,EX_mg2(e),GF6PTA,USHD,HISTP,GLUR
EX_cl(e),ANPRT,TDPDRRr,3HAD120,HEPT3,PROt4rpp,3OAACPR2,ADSS,,BPNT,CHORM,,,3HAD60,CLPNSI17,GMHEPPA,DHQS,GMHEPAT,TYRTA,RBFSb
CITRH,GRTT,PRATPP,EAR7M8x,Ktex,TRSARr,3HAD40,UAMAGS,,NNDMBRT,GLNabc,,,TMN,PSDI17,GAMtex,UAPGR,FMNAT,HSK,3OAS11M12
NNATr,PMDPHT,DPR,PANTS,dreplication,EX_met_L(e),3OAS80,UAG2E,,EX_fol(e),PGPPAI17,,,PGPPAI17,RNTR2,ZNabcpp,PAPPT3,GMHEPK,ALAR,DPCOAK
CYSS3r,ATPPRT,DB4PS,UAMAGS,G1PACT,SGAT,Coabcpp,EX_nac(e),,EX_fe2(e),TECA1S180,,,ACPS1,FE2tex,rtranscription,HEPT4,CHORS,,AHCYSNS_r
GALU,GLCTR1,ARGSS,EX_pi(e),EX_zn2(e),GALU,sink_s,EX_pi(e),,EX_thr_L(e),MNt2,,,3HAD4M6,PGPPI17,3OAS60,S7PIr,DDPA,,PPTT
UAGAAT,3HAD80,EX_ca2(e),3OAS8M10,PRMICI,UAGAAT,DHQS,MCOATA,,3OAS7M8,EX_succ(e),,,EX_mg2(e),CDPMEK,EAR160x,SHKK,THR_Ltex,,EAR5M6x
PSD180,G1PTT,IMPC,PSCVT,SO4tex,PSD180,UAPGR,3HAD13M14,,PRPPS,ACPS1,,,GMHEPPA,SHK3Dr,PRAGS,HEPT3,CU2tex,,APRAUR
USHD,IGPDH,MECDPS,U23GAAT,GLCTR2,RNTR1,DAPDC,3OAR15M16,,3OAS10M12,3HAD4M6,,,rtranscription,METFR,3OAS180,Ktex,3OAS120,,3OAS100
GMHEPAT,MN2tex,PNTK,TDPDRE,GLNS,USHD,PAPPT3,NTD4,,r2137,EX_mg2(e),,,3OAS60,DXPRIr,PGM,dreplication,PGAMT,,CLPNS180
FMNAT,3HAD60,CYSTS,MECDPDH2,ACLS_a,GMHEPAT,EACPR1,H2CO3D,,ARGSL,rtranscription,,,3OAR15M16,3OAS6M8,EX_pheme(e),COBALTt5pp,ZN2t4pp,,3HAD40
GLUOX,EX_lys_L(e),ACHBPL,EX_cobalt2(e),DXPS,FMNAT,HEPT4,3OAS8M10,,CLPNSI17,3OAR15M16,,,H2CO3D,GRTT,HEPT2,G1PACT,EAR13M14x,,3OAS80
S17BPH,CHORM,EX_so4(e),GCALDD,GHMT2r,DHFS,S7PIr,AIRC4,,PSDI17,ZN2t4,,,OHPHM,PMDPHT,EAR120x,EX_zn2(e),PIt7irpp,,PSDAI17
OCDCAtex,ACPS1,EACPR2,EX_mn2(e),AGMHE,3OAR180,SHKK,SHKK,,HBZOPT,OHPHM,,,UDCPDPS,ACOAAGPATAI17,3OAR40,PRMICI,3OAS12M14,,CAt4ipp
GMHEPK,EX_mg2(e),UAGCVT_r,3OAR8M10,3OAR60,CHORS,3OAACPR1,PSCVT,,AMMQT8r,EX_trp_L(e),,,PGPP180,GLCTR1,GLUPRT,SO4tex,sink_pheme(c),,DHQS
CHORS,GMHEPPA,PRAMPC,HETT,3HAD100,GMHEPK,HEPT3,COBALTt5,,PGPPI17,PGM,,,3OAR11M12,G1PTT,EAR10M12x,GLCTR2,HEPT1,,IHPDCOATA
DDPA,ZNabcpp,AICART,RHAT1,TRDRr,DDPA,KDOCT2,OHPHM,,CDPMEK,EX_pheme(e),,,PPNDH,MN2tex,PSSAI17,ACLS_a,RIBFLVt2rpp,,G3PATAI17
CU2tex,rtranscription,MALCOAMT,3OAR14M16,ACOATA,CU2tex,P5CRyr,3OAS9M10,,GGTA,FE3abc,,,MOAT3C,3HAD5M6,TPI,ACLS_b,Ktex,,UAPGR
EX_thm(e),3OAS60,MOAT,EX_cl(e),LPADSS,3OAS120,DHAD2,EX_k(e),,EX_mqn7(e),PSSAI17,,,OPHBDC,PGPPAI17,ENO,DXPS,dreplication,,DAPDC
PGAMT,Ktex,3OAR100,biomass345,EX_biomass(e),EAR13M14x,GALUi,OIVD1r,,SHK3Dr,ENO,,,CA2tex,Kt1rpp,3HAD120,GHMT2r,G1PACT,,PAPPT3
TKT1,DM_dad_5,AGPR,NNATr,OCBT,IG3PS,3OAR80,METabc,,METFR,UAMAGS,,,HMBS,ACPS1,EAR7M8x,AGMHE,EX_zn2(e),,HEPT4
MALCOAPYRCT,dreplication,DBTS,PROt4rpp,RBFSa,3OAS12M14,A5PISO,UDCPDPS,,DXPRIr,EX_pi(e),,,3HAD7M8,3HAD4M6,PANTS,3OAR60,SO4tex,,S7PIr
EAR13M14x,COBALTt5pp,ALATA_L,TRSARr,EDTXS1,HEPT1,PPCDC,PGPP180,,ANPRT,3OAS8M10,,,pbiosynthesis,EX_mg2(e),UAMAGS,3HAD100,GLCTR2,,3HAD13M14
IG3PS,EX_zn2(e),Ktex,EX_met_L(e),3OAS140,CBIAT,DM_btn,UAMAS,,3OAS6M8,TECA2SI17,,,GLUCYS,GMHEPPA,EX_pi(e),TRDRr,EAR6M8x,,SHKK
3OAS12M14,PRMICI,DM_dad_5,CYSS3r,UAMAS,MNt2pp,MET_Ltex,3OAS5M6,,GRTT,EX_ala_L(e),,,FE3tex,ZNabcpp,ASP4DC,ACOATA,EX_ile_L(e),,3OAS9M10
HEPT1,SO4tex,dreplication,SGAT,KDOPP,3OAR12M14,ZN2tex,OCBT,,EAR14M16x,PSCVT,,,DASYNI17,rtranscription,3OAS8M10,LPADSS,L2A6OD2s,,HEPT3
URCN,3HACPR2,COBALTt5pp,UAGAAT,EAR80x,TDPGDH,THRS,3OAR12M14,,ATPPRT,METabc,,,DHQTi,3OAR15M16,PSCVT,EX_biomass(e),PGSAAI17,,OIVD1r
IPPMIa,GLCTR2,G1PACT,PSD180,KAS14,FE2abcpp,UGMDDS,TECA4S,,26DAPt2r,FRD7,,,GALT1,H2CO3D,U23GAAT,OCBT,3OAS4M6,,G1SAT
CBIAT,GLNS,EX_zn2(e),USHD,EAR40x,3HAD140,ACGK,THDPS,,EX_spmd(e),MECDPDH2,,,HISt2rpp,Ktex,TDPDRE,RBFSa,3OAS13M14,,Ktex
AHSERL3,ACLS_a,PRMICI,GMHEPAT,3OAR140,AHC,SHSL1r,ADOCBIK2,,ACOAAGPATAI17,EX_cobalt2(e),,,DNMPPA,dreplication,MECDPDH2,EDTXS1,DXPS,,dreplication
FBA3,DXPS,SO4tex,FMNAT,CA2abcpp,UAGPT3,RNTR3,PRASCSi,,PAPA180,EX_mn2(e),,,CLPNSAI17,COBALTt5pp,EX_cobalt2(e),3OAS140,PRFGS,,COBALTt5pp
MNt2pp,SHSL4,3HACPR2,DHFS,CYSS,RBFK,MG2tex,ADPT,,IGPDH,ADSL1r,,,3OAR120,G1PACT,EX_mn2(e),UAMAS,EAR9M10x,,EX_zn2(e)
3OAR12M14,GHMT2r,GLCTR2,3OAR180,KDOCT2,26DAPLLAT,ADSS,UAGPT3,,3HAD5M6,3OAR8M10,,,OMBZLM,EX_zn2(e),ADSL1r,KDOPP,3OAS3M4,,SO4tex
TDPGDH,PMACPME,EX_xyl_D(e),GMHEPK,P5CRyr,UDCPDP,MCOATA,GTPCI,,EX_lys_L(e),HETT,,,THMabcpp,SO4tex,3OAR8M10,EAR80x,AGMHE,,GLCTR2
FE2abcpp,AGMHE,XYLI1,CHORS,DHAD2,HEPK2,EX_k(e),CYSTGL,,CHORM,3OAR14M16,,,3OAR9M10,GLCTR2,RHAT1,KAS14,TMPK,,EAR6M8x
UAGPT3,DM_AMOB,ACLS_a,SUCBZL,3OAR80,r2137pp,GLU5K,ADMDCr,,PGPPAI17,MK8t,,,EX_his_L(e),EAR6M8x,3OAR14M16,EAR40x,EAR12M14x,,PGSAAI17
RBFK,3OAR60,DXPS,DDPA,A5PISO,BPNT,EAR60x,RBFK,,TECA1S180,EX_cl(e),,,NMNAT,PGSAAI17,EX_cl(e),3OAR140,3OAR60,,3OAS4M6
LEUTA,3HAD100,GHMT2r,CU2tex,PPCDC,NNDMBRT,COBALT2tex,3HAD8M10,,MNt2,EX_hxan(e),,,Cuabcpp,3OAS4M6,biomass345,CA2abcpp,3HAD100,,3OAS13M14
UDCPDP,TRDRr,PMACPME,3OAS120,ZN2tex,EX_fe2(e),ASPKi,PGK,,EX_succ(e),NNATr,,,HETZK,3OAS13M14,NNATr,KDOCT2,ACOATA,,DXPS
HEPK2,ACOATA,AGMHE,TKT1,THRS,3OAS7M8,GLCTR3,CBPS,,ACPS1,HYXNti,,,PTPAT,DXPS,EX_met_L(e),DHAD2,ADOCBLS,,EAR9M10x
r2137pp,LPADSS,DM_AMOB,EAR13M14x,UGMDDS,PRPPS,G5SDr,PPA,,3HAD4M6,EX_met_L(e),,,MTHFD,PRFGS,UAGAAT,3OAR80,LPADSS,,3OAS3M4
BPNT,EX_biomass(e),3OAR60,IG3PS,ACGK,3OAS10M12,PEPGLY,OCDCAtr,,EX_mg2(e),biomass228,,,DTMPK,EAR9M10x,PSD180,DHFR,PGSA180,,AGMHE
NNDMBRT,OCBT,3HAD100,3OAS12M14,RNTR3,UHGADA,HEPK1,UDCPDP,,rtranscription,RPI,,,METAT,3OAS3M4,RNTR1,A5PISO,biomass328,,TMPK
EX_fol(e),RBFSa,TRDRr,HEPT1,MG2tex,ARGSL,HISTP,GGTT,,3OAR15M16,PSD180,,,MEPCT,EAR14M16,USHD,PPCDC,G3PATI17,,EAR12M14x
EX_fe2(e),EDTXS1,ACOATA,CBIAT,MCOATA,CDOSKT,GACPCD,ALAALA,,dreplication,FMNAT,,,biomass265,AGMHE,GMHEPAT,TMDS,THRt2rpp,,3OAR60
3OAS7M8,MALCOACD,LPADSS,3OAR15M16,EX_k(e),CLPNSI17,HSK,MTAN,,EX_zn2(e),TECA2SAI17,,,EX_cu2(e),TMPK,FMNAT,ZN2tex,EX_biomass(e),,3HAD100
PRPPS,3OAS140,EX_biomass(e),H2CO3D,GLU5K,PSDI17,ALAR,DMQMT,,PRMICI,FOLt,,,OIVD3,EAR12M14x,DHFS,THRS,3OAS5M6,,TRDRr
TRPt2rpp,UAMAS,OCBT,PGPP180,H2Stpp,RNTR2,Ktex,EAR11M12,,EAR6M8x,TECAGE,,,UAGDP,TRDRr,GAMt2rpp,UGMDDS,EDTXS1,,ACOATA
3OAS10M12,KDOPP,RBFSa,3OAR11M12,EAR60x,FE2tex,DM_dad_5,DASYN180,,DHNAOT7,TECAUE,,,PGSAI17,ADCS,3OAR180,ACGK,3OAS140,,ADOCBLS
UHGADA,EAR80x,EDTXS1,MOAT3C,COBALT2tex,PGPPI17,dreplication,3OAR4M6,,PGSAAI17,CHORS,,,EAR100x,ADOCBLS,GMHEPK,RNTR3,ADK2,,LPADSS
ARGSL,KAS14,MALCOACD,CA2tex,GLCTR3,CDPMEK,EX_zn2(e),GLUR,,3OAS4M6,DDPA,,,3OAR7M8,DHNPA,CHORS,DHAD1,DASYN180,,PGSA180
CDOSKT,EAR40x,3OAS140,DHPPDA,G5SDr,SHK3Dr,PRMICI,BPNT,,3OAS13M14,EX_thm(e),,,CLtex,LPADSS,DDPA,MG2tex,PSSAAI17,,G3PATI17
CLPNSI17,3OAR140,EX_fe3(e),3HAD7M8,PEPGLY,METFR,SO4tex,PSSAAI17,,ALAPGPL,TKT1,,,FE3abcpp,PGSA180,CU2tex,ADSS,EX_fe3(e),,EX_biomass(e)
PSDI17,CA2abcpp,UAMAS,pbiosynthesis,PHETA1,ASP1DC,3HACPR2,NNDMBRT,,TECA1SAI17,MALCOAPYRCT,,,EAR8M10x,G3PATI17,3OAS120,MCOATA,UAMAS,,CHRPL
CYSDS,KDOCT2,KDOPP,DASYNI17,HEPK1,THRD,GLCTR2,EX_fe3(e),,DXPS,EAR13M14x,,,FE2DH,FT,PGAMT,EX_k(e),KDOPP,,3OAS5M6
FE2tex,DHAD2,EAR80x,MK8tpp,HISTP,FRUK,ACLS_a,3OAS11M12,,GHMT2r,IG3PS,,,3OAR5M6,EX_biomass(e),EAR13M14x,H2Stpp,EAR80x,,RBFSa
PGPPI17,GALUi,DM_dhptd(c),GAPD,HSK,DXPRIr,DXPS,EX_fe2(e),,EAR9M10x,dreplication,,,ADMDCr,3OAS5M6,IG3PS,EAR60x,KAS14,,EDTXS1
CDPMEK,3OAR80,KAS14,EAR140x,ALAR,3OAS6M8,SHSL4,SDPDS,,3OAS3M4,EX_zn2(e),,,EAR11M12x,RBFSa,3OAS12M14,COBALT2tex,EAR40x,,3OAS140
SHK3Dr,A5PISO,EAR40x,DHQTi,,GRTT,PMACPME,EAR6M8,,EAR12M14x,PRMICI,,,3HAD8M10,EDTXS1,HEPT1,GLCTR3,3OAR140,,ADK2
METFR,PPCDC,3OAR140,GALT1,,EAR14M16x,PRFGS,UACMAMAT,,TRDRr,EAR6M8x,,,GGTT,DUTPDP,CBIAT,PEPGLY,3OAS4M3O6,,DASYN180
ASP1DC,NAt3_1pp,CA2abcpp,CLPNSAI17,,PMDPHT,AGMHE,3OAS7M8,,CAt4i,EAR10M12,,,Ktex,3OAS140,3OAS11M12,PHETA1,LYSt3rpp,,PSSAAI17
MTHFC,DM_btn,KDOCT2,3OAR120,,ATPPRT,DM_AMOB,PRPPS,,ADOCBLS,PGSAAI17,,,ADOCBIK,ADK2,THZPSN,HEPK1,TDSK,,UPP3S
DXPRIr,MET_Ltex,P5CRyr,SO4t2pp,,EX_spmd(e),3OAR60,UPP3S,,PGSA180,3OAS4M6,,,dreplication,DASYN180,DPCOAK,PGCDr,3OAR4M6,,UAMAS
